"ProgramId","Name","Jurisdiction","ProgramType","MenuCategory","RepairTags","PriorityRank","MaxBenefit","StatusOrDeadline","Agency","Phone","Email","Website","EligibilitySummary","IncomeGuidance","DocsChecklist","LastVerified"
"51632","SHARP Grants (Syracuse Homeowner Assistance & Repair Program)","","","URGENT SAFETY","roof;heating;structural;electrical;plumbing;windows;doors;exterior;steps","100","Up to ,000 (grant)","First-come/first-served; availability varies (often seasonal)","Home HeadQuarters / City of Syracuse CDBG","(315) 474-1939","","https://www.homehq.org/homeowner-loans-grants","","","",""
"51632","Home HeadQuarters Urgent Care Program (City of Syracuse)","","","URGENT SAFETY","roof;heating;structural;electrical;plumbing;emergency","100","Up to ,000 (loan/deferred loan mix)","Rolling; emergency repairs only","Home HeadQuarters","(315) 474-1939","","https://www.homehq.org/homeowner-loans-grants","","","",""
"51632","NYS RESTORE Program (Senior 60+ Emergency Repairs)","","","URGENT SAFETY","roof;heating;structural;emergency;health-safety","100","Varies (often –+ depending on admin/funding)","Rolling; administered locally","NYS Homes & Community Renewal (HCR) / Local administrators","(315) 435-3558","","https://hcr.ny.gov/restore-program","","","",""
"51632","Onondaga County Community Development – SHAPE-UP (Senior/Disabled Repairs)","","","AGING IN PLACE","roof;heating;structural;stairs;doors;windows;plumbing;electrical;accessibility","100","Often up to ~,000 (assistance; terms may include deferred loan/lien)","Varies by funding cycle; call for current status","Onondaga County Community Development","(315) 435-3558","","https://onondaga.gov/cd/","","","",""
"51632","NYS Access to Home Program (Accessibility Modifications)","","","AGING IN PLACE","accessibility;ramps;grab-bars;stairs;bathroom;lift","48","Varies (accessibility-focused funding)","Rolling; administered through local providers","NYS Homes & Community Renewal (HCR)","(315) 435-2362","","https://hcr.ny.gov/access-home-program","","","",""
"51632","PEACE Inc. Weatherization Assistance Program","","","ENERGY & BILLS","insulation;air-sealing;heating;windows;doors;energy","60","No-cost services for income-eligible households","Rolling","PEACE Inc. Energy & Housing","(315) 470-3315","","https://www.peace-caa.org/programs/energyhousing/","","","",""
"51632","PEACE Inc. EmPower+ (Energy Smart – Income Eligible)","","","ENERGY & BILLS","insulation;air-sealing;heating;appliances;energy","60","Often no-cost/covered upgrades for eligible households","Rolling","PEACE Inc. / NYSERDA pathway","(315) 470-3315","","https://www.peace-caa.org/programs/energyhousing/","","","",""
"51632","Onondaga County DSS – Emergency HEAP (Heating Assistance)","","","URGENT SAFETY","heating;utilities;emergency","85","Benefit varies; paid to vendor (eligibility-based)","Seasonal; emergency opens during winter period","Onondaga County Department of Social Services","(315) 435-8295","","https://onondaga.gov/dss/heap/apply/","","","",""
"51632","Onondaga County DSS – After-Hours Heating Emergency Referral (211CNY)","","","URGENT SAFETY","heating;emergency","85","Referral/triage","After-hours","211CNY / DSS HEAP","Dial 211 or 1-844-245-1922","","https://onondaga.gov/dss/heap/","","","",""
"51632","City of Syracuse Lead Grant Program (Lead Paint Hazard Work)","","","HEALTH HAZARDS","lead;windows;doors;siding;paint;healthy-homes","46","Varies; program cycles; may be closed at times","City note: 2025 applications shown as closed (call/email for next opening)","City of Syracuse NBD (Lead Program)","(315) 448-8710","","https://www.syr.gov/Departments/NBD/Neighborhood-Development/Syracuse-Lead-Grant-Program","","","",""
"51632","Onondaga County Lead Hazard Reduction Program (HUD-funded)","","","HEALTH HAZARDS","lead;windows;doors;siding;paint;healthy-homes","46","Varies; eligibility-based; often child-under-6 rules apply","Availability varies; call for current intake requirements","Onondaga County Community Development (Lead Hazard Reduction)","(315) 435-3558","","https://onondaga.gov/cd/","","","",""
"51632","Home HeadQuarters FlexFund (Home Improvement Loan Program)","","","BUYING HELP","roof;heating;structural;windows;doors;exterior;energy","90","Loan amounts vary; statewide","Rolling","Home HeadQuarters","(315) 474-1939","","https://www.homehq.org/homeowner-loans-grants","","","",""
"51632","USDA Section 504 Home Repair (Grant/Loan) – Generally Rural Only","","","URGENT SAFETY","roof;heating;structural;health-safety","100","Grant to elderly very-low-income for hazards (rural eligibility); loans also available","Rolling; only if property qualifies as rural (often NOT inside Syracuse city)","USDA Rural Development","Check local USDA RD office","","https://www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-repair-loans-grants-18","","","",""
